id,objectType,actor,verb,postedTime,generator,provider,link,body,object,favoritesCount,twitter_entities,twitter_filter_level,retweetCount,info,location,inReplyTo
"tag:search.twitter.com,2005:646453477925752832",activity,object,post,2015-09-22T22:38:14.000Z,object,object,http://twitter.com/YellowhispInt/statuses/646453477925752832,"Diesel cars loiter in lots as VW dealers, owners sit and wait: OAKLAND, California, Sept 22 (Reuters) - At the... http://t.co/9GA9h561mj",object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453877148119040",activity,object,post,2015-09-22T22:39:49.000Z,object,object,http://twitter.com/DaleFranks/statuses/646453877148119040,Inside the Brooklyn Navy Yard warehouse for the big 2016 VW Jetta rollout last night/ http://t.co/obAheBm9yr http://t.co/SEWWKvT2D8,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453908739526656",activity,object,share,2015-09-22T22:39:57.000Z,object,object,http://twitter.com/FredOrth/statuses/646453908739526656,RT @NBCNightlyNews: Volkswagen under investigation for hidden software inside cars to get around the law. @PeteWilliamsNBC reports now http…,object,0,object,low,4,-,-,-
"tag:search.twitter.com,2005:646453919623712769",activity,object,post,2015-09-22T22:39:59.000Z,object,object,http://twitter.com/DoughertyNews9/statuses/646453919623712769,"""We have totally screwed up."" - @Volkswagen CEO on cheating 11 million cars on EPA emissions tests.",object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453816456417280",activity,object,post,2015-09-22T22:39:35.000Z,object,object,http://twitter.com/irenechoe/statuses/646453816456417280,Bribery attributes e.g. pleasure trips to prostitutes; gift certificates at boutiques for wives. See VW Trial 2008: http://t.co/FDliAKjEP9,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453827332390913",activity,object,post,2015-09-22T22:39:37.000Z,object,object,http://twitter.com/WNTonight/statuses/646453827332390913,Man sues Volkswagen: 'Every reason that I bought the car was based on a lie': http://t.co/NlUMPCQDtY http://t.co/qVTn2eVLRZ,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453832671698944",activity,object,share,2015-09-22T22:39:38.000Z,object,object,http://twitter.com/RangerRick/statuses/646453832671698944,RT @petersagal: I was fooled into buying a VW in 2001 by a Nick Drake song.,object,0,object,low,12,-,-,-
"tag:search.twitter.com,2005:646453839869124608",activity,object,share,2015-09-22T22:39:40.000Z,object,object,http://twitter.com/KimCheeMichael/statuses/646453839869124608,"RT @latimes: Roughly 72,000 CA drivers are affected by the Volkswagen/Audi recall – and DMV may crack down to ensure compliance http://t.co…",object,0,object,low,18,-,-,-
"tag:search.twitter.com,2005:646453842633097216",activity,object,post,2015-09-22T22:39:41.000Z,object,object,http://twitter.com/nhirsch/statuses/646453842633097216,Don't cheat: Volkswagen    Yes you totally screwed up.,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453855010574336",activity,object,share,2015-09-22T22:39:44.000Z,object,object,http://twitter.com/luismartinezbc/statuses/646453855010574336,RT @davepell: Volkswagen is just the beginning. I hear the Tesla runs on coal.,object,0,object,low,14,-,-,-
"tag:search.twitter.com,2005:646453856008818688",activity,object,share,2015-09-22T22:39:44.000Z,object,object,http://twitter.com/vmarie37353/statuses/646453856008818688,RT @CBSEveningNews: .@Volkswagen CEO: “We’ve totally screwed up.” @krisvancleave has the latest on the emissions test rigging scandal http:…,object,0,object,low,3,-,-,-
"tag:search.twitter.com,2005:646453776115740672",activity,object,post,2015-09-22T22:39:25.000Z,object,object,http://twitter.com/StacyRHagan/statuses/646453776115740672,"""How U.S. Lawyers Were So Quick Off the Mark to Sue Volkswagen"" by REUTERS via NYT http://t.co/fv2WgX8eUJ",object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453795875000320",activity,object,share,2015-09-22T22:39:30.000Z,object,object,http://twitter.com/KikiSwit/statuses/646453795875000320,RT @FT: Why would VW cheat emissions tests? FREE to read http://t.co/Pop7Rrks1z http://t.co/dvrebIq3LB,object,0,object,low,23,-,-,-
"tag:search.twitter.com,2005:646453799918415872",activity,object,post,2015-09-22T22:39:31.000Z,object,object,http://twitter.com/CBSEveningNews/statuses/646453799918415872,".@Volkswagen emissions scandal doesn’t pose a safety issue, but there is a danger to health. @benstracy has details http://t.co/l125dB2ACq",object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453798265860096",activity,object,share,2015-09-22T22:39:30.000Z,object,object,http://twitter.com/89_eightynine/statuses/646453798265860096,RT @NBCNightlyNews: Volkswagen under investigation for hidden software inside cars to get around the law. @PeteWilliamsNBC reports now http…,object,0,object,low,2,-,-,-
"tag:search.twitter.com,2005:646453671690153984",activity,object,post,2015-09-22T22:39:00.000Z,object,object,http://twitter.com/stlnews/statuses/646453671690153984,"STLtoday: VW dealers, owners sit and wait — and fume http://t.co/cKvI47llK6",object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453686026170368",activity,object,post,2015-09-22T22:39:03.000Z,object,object,http://twitter.com/InquisitionNews/statuses/646453686026170368,VW CEO: 'I am endlessly sorry' brand is tarnished: DETROIT (AP) — Volkswagen AG's smog-test scandal es... http://t.co/YQcUqNz1xN (Yahoo),object,0,object,low,0,-,-,-
